file_path,pst_id,column_length,cut_length,phi,cut_depth,rho_wl,E_wl,HH_wl,GT_wl,GS_wl,G,GIc,GIIc
data/snowpits/2019-2020/snowpits-23633-caaml.xml,0,1000.0,580.0,25,250.0,292.25,42.50435458798165,P,MFcr,2.0,0.6279623414478769,0.5964495931107588,0.03151274833711801
data/snowpits/2019-2020/snowpits-19342-caaml.xml,0,1050.0,350.0,30,1150.0,260.0,25.409508808153134,1F,DH,,0.637190575830653,0.589119449384682,0.04807112644597095
data/snowpits/2019-2020/snowpits-19511-caaml.xml,0,1000.0,450.0,21,970.0,184.0,5.550242516693784,4F,FCxr,1.0,1.2076358057948462,1.1985614175200656,0.009074388274780567
data/snowpits/2019-2020/snowpits-20892-caaml.xml,0,1000.0,330.0,28,490.0,125.0,1.0127857821582387,F,SHsu,,0.21244547475019948,0.21231552012361068,0.0001299546265887915
data/snowpits/2019-2020/snowpits-24565-caaml.xml,0,1000.0,150.0,32,940.0,184.0,5.550242516693784,4F,FCxr,1.0,0.21735398407093814,0.15984698221657304,0.0575070018543651
data/snowpits/2019-2020/snowpits-21224-caaml.xml,0,1250.0,440.0,0.0,770.0,204.0,8.73949373506776,4F,FC,1.0,0.6444360911365008,0.6259064375891443,0.01852965354735647
data/snowpits/2019-2020/snowpits-21224-caaml.xml,1,1250.0,680.0,0.0,1060.0,204.0,8.73949373506776,4F,FC,,5.550961419599308,5.541135365179279,0.00982605442002917
data/snowpits/2019-2020/snowpits-18824-caaml.xml,0,1000.0,370.0,17,610.0,210.0,9.928381016949693,F,DH,3.0,0.39590014606181595,0.3927931164703356,0.0031070295914803715
data/snowpits/2019-2020/snowpits-23674-caaml.xml,0,1200.0,400.0,28,1400.0,250.0,21.38206162361775,1F,FC,,1.0152067253248254,0.9495016744016681,0.06570505092315727
data/snowpits/2019-2020/snowpits-22812-caaml.xml,0,1000.0,300.0,17,600.0,158.0,2.8392571053874684,F,FC,0.5,0.2346358857677293,0.23189343867518958,0.0027424470925397453
data/snowpits/2019-2020/snowpits-21967-caaml.xml,0,1000.0,150.0,36,950.0,217.0,11.469285607132804,1F,RGxf,1.0,0.07863934187793534,0.05153692147954985,0.02710242039838549
data/snowpits/2019-2020/snowpits-17330-caaml.xml,0,1000.0,350.0,33,350.0,158.0,2.8392571053874684,F,FC,,0.1276189864064338,0.1269615960353457,0.0006573903710880742
data/snowpits/2019-2020/snowpits-20439-caaml.xml,0,1000.0,300.0,22,450.0,250.0,21.38206162361775,1F,FC,1.0,0.173241943501321,0.17245019895005315,0.0007917445512678352
data/snowpits/2019-2020/snowpits-20278-caaml.xml,0,1000.0,480.0,20,610.0,158.0,2.8392571053874684,F,FC,2.0,0.9277076255668352,0.9276066256471175,0.00010099991971766169
data/snowpits/2019-2020/snowpits-20440-caaml.xml,0,1000.0,300.0,24,400.0,204.0,8.73949373506776,4F,FC,1.5,0.16277914258049167,0.16030207033914817,0.0024770722413434997
data/snowpits/2019-2020/snowpits-21327-caaml.xml,0,1000.0,400.0,37,910.0,248.0,20.639583747787405,1F,FCxr,,0.722924299600855,0.64566368685845,0.077260612742405
data/snowpits/2019-2020/snowpits-21327-caaml.xml,1,1000.0,300.0,37,360.0,117.0,0.7570617954332671,4F,PP,,0.10756166439107794,0.10731151875936633,0.00025014563171160513
data/snowpits/2019-2020/snowpits-17058-caaml.xml,0,1000.0,350.0,33,690.0,292.25,42.50435458798165,F+,MFsl,3.0,0.3003964663184019,0.27710039839420725,0.02329606792419464
data/snowpits/2019-2020/snowpits-23323-caaml.xml,0,1000.0,430.0,0.0,440.0,184.0,5.550242516693784,4F,FCsf,0.5,0.4028617260764322,0.3929234743705205,0.009938251705911729
data/snowpits/2019-2020/snowpits-18285-caaml.xml,0,1000.0,300.0,27,1230.0,173.18,4.2511220527893325,F+,FC,2.5,0.47864423602644784,0.45007399438937606,0.028570241637071756
data/snowpits/2019-2020/snowpits-22531-caaml.xml,0,1500.0,280.0,0.0,840.0,184.0,5.550242516693784,4F,FCso,1.0,0.2520943668316557,0.2478936722694233,0.004200694562232406
data/snowpits/2019-2020/snowpits-21726-caaml.xml,0,1750.0,750.0,29,550.0,146.86,2.058206966008429,F+,RGlr,5.0,4.022740375112425,3.6579044360059454,0.3648359391064796
data/snowpits/2019-2020/snowpits-19768-caaml.xml,0,1000.0,400.0,25,1050.0,204.0,8.73949373506776,4F,FC,1.0,0.9117114261681711,0.8933243734157533,0.018387052752417848
data/snowpits/2019-2020/snowpits-19752-caaml.xml,0,1000.0,350.0,25,750.0,158.0,2.8392571053874684,F,FC,,0.35072508081908,0.34708753173391366,0.0036375490851663556
data/snowpits/2019-2020/snowpits-19752-caaml.xml,1,1000.0,500.0,25,1160.0,188.82,6.219059461655684,4F-,FC,,2.84905610215699,2.7867233323143727,0.06233276984261726
data/snowpits/2019-2020/snowpits-20663-caaml.xml,0,1000.0,200.0,19,190.0,125.0,1.0127857821582387,F-,SHsu,1.0,0.06814125000540712,0.06049121333438079,0.007650036671026335
data/snowpits/2019-2020/snowpits-18570-caaml.xml,1,1450.0,420.0,30,1250.0,292.25,42.50435458798165,P,MFcr,,0.5678922470651013,0.5420044491749652,0.025887797890136195
data/snowpits/2019-2020/snowpits-19036-caaml.xml,0,1990.0,350.0,38,1000.0,184.0,5.550242516693784,4F,FCxr,1.0,0.25105389069162215,0.20538153205098558,0.04567235864063659
data/snowpits/2019-2020/snowpits-23505-caaml.xml,0,1000.0,370.0,0.0,700.0,118.4,0.797739376138093,F+,,,0.5229767762615378,0.514882947245048,0.008093829016489753
data/snowpits/2019-2020/snowpits-23505-caaml.xml,1,1000.0,370.0,0.0,500.0,224.4,13.292727139966141,1F+,,,0.3340467251265143,0.3190391302888133,0.015007594837700968
data/snowpits/2019-2020/snowpits-17833-caaml.xml,0,1000.0,100.0,31,200.0,161.59510586007093,3.134711908056247,4F-,RG,0.5,0.009295455043796143,0.00929545499176241,5.2033733022764065e-11
data/snowpits/2019-2020/snowpits-20643-caaml.xml,0,1000.0,200.0,23,150.0,71.7,0.08778045419353013,F-,,,0.02517702688366922,0.02404135145767409,0.0011356754259951298
data/snowpits/2019-2020/snowpits-17535-caaml.xml,0,900.0,360.0,25,370.0,210.0,9.928381016949693,F,DH,1.0,0.2201598595222564,0.21615437755588288,0.004005481966373526
data/snowpits/2019-2020/snowpits-18567-caaml.xml,0,1650.0,530.0,0.0,860.0,210.0,9.928381016949693,F,DHcp,2.0,0.9690740430312431,0.9215886871003677,0.04748535593087539
