file_path,pst_id,column_length,cut_length,phi,rho_wl,E_wl,HH_wl,GT_wl,GS_wl,G,GIc,GIIc
data/snowpits/2019-2020/snowpits-19511-caaml.xml,0,1000.0,450.0,21,184.0,5.550242516693784,4F,FCxr,1.0,1.0273316791594838,1.0105600437172428,0.0167716354422409
data/snowpits/2019-2020/snowpits-20892-caaml.xml,0,1000.0,330.0,28,125.0,1.0127857821582387,F,SHsu,,0.45639616846486286,0.4535800685320604,0.0028160999328024658
data/snowpits/2019-2020/snowpits-24565-caaml.xml,0,1000.0,150.0,32,184.0,5.550242516693784,4F,FCxr,1.0,0.21668980553952538,0.2086526208455773,0.008037184693948079
data/snowpits/2019-2020/snowpits-21224-caaml.xml,0,1250.0,440.0,0.0,204.0,8.73949373506776,4F,FC,1.0,0.3093036767476609,0.27967637691478653,0.029627299832874352
data/snowpits/2019-2020/snowpits-21224-caaml.xml,1,1250.0,680.0,0.0,204.0,8.73949373506776,4F,FC,,1.3325734865119563,1.2869519108374798,0.04562157567447637
data/snowpits/2019-2020/snowpits-18824-caaml.xml,0,1000.0,370.0,17,210.0,9.928381016949693,F,DH,3.0,0.3093365199995841,0.26511879157483637,0.044217728424747735
data/snowpits/2019-2020/snowpits-23674-caaml.xml,0,1200.0,400.0,28,250.0,21.38206162361775,1F,FC,,1.0080635470966257,0.9961961969494141,0.011867350147211714
data/snowpits/2019-2020/snowpits-22812-caaml.xml,0,1000.0,300.0,17,158.0,2.8392571053874684,F,FC,0.5,0.29433832609046134,0.2728388473679067,0.021499478722554664
data/snowpits/2019-2020/snowpits-21967-caaml.xml,0,1000.0,150.0,36,217.0,11.469285607132804,1F,RGxf,1.0,0.13603837910828284,0.13494531589224676,0.0010930632160360925
data/snowpits/2019-2020/snowpits-17330-caaml.xml,0,1000.0,350.0,33,158.0,2.8392571053874684,F,FC,,0.1813162224315158,0.17764339947100688,0.0036728229605089095
data/snowpits/2019-2020/snowpits-20439-caaml.xml,0,1000.0,300.0,22,250.0,21.38206162361775,1F,FC,1.0,0.19099518588243874,0.1612120808769524,0.029783105005486324
data/snowpits/2019-2020/snowpits-20278-caaml.xml,0,1000.0,480.0,20,158.0,2.8392571053874684,F,FC,2.0,1.0044346900626653,0.9797150774763499,0.024719612586315474
data/snowpits/2019-2020/snowpits-20440-caaml.xml,0,1000.0,300.0,24,204.0,8.73949373506776,4F,FC,1.5,0.1917330023458475,0.1613538881363712,0.030379114209476296
data/snowpits/2019-2020/snowpits-21327-caaml.xml,0,1000.0,400.0,37,248.0,20.639583747787405,1F,FCxr,,0.5298738335906298,0.5250380193648707,0.004835814225759109
data/snowpits/2019-2020/snowpits-21327-caaml.xml,1,1000.0,300.0,37,117.0,0.7570617954332671,4F,PP,,0.30279440320264867,0.3003237992599094,0.0024706039427392907
data/snowpits/2019-2020/snowpits-17058-caaml.xml,0,1000.0,350.0,33,292.25,42.50435458798165,F+,MFsl,3.0,0.1430154174671706,0.13355459595922256,0.00946082150794806
